 overall model performance was poor; the difference between observations and simulations was similar to 10 times observational uncertainty, with forested ecosystems better predicted than nonforested [SCHWALM 2010 | J. GEOPHYS. RES.-BIOGEOSCI. | 149]
the uncertainty in the projection of future drought occurrence was explored for four different drought indices using two model ensembles [BURKE 2008 | J. HYDROMETEOROL. | 102]
 the first ensemble expresses uncertainty in the parameter space of the third hadley centre climate model, and the second is a multimodel ensemble that additionally expresses structural uncertainty in the climate modeling process [BURKE 2008 | J. HYDROMETEOROL. | 102]
 a separation of different sources of uncertainty in projections of meteorological and soil moisture drought reveals that for the near term, internal climate variability is the dominant source, while the formulation of global climate models (gcms) generally becomes the dominant source of spread by the end of the 21st century, especially for soil moisture drought [ORLOWSKY 2013 | HYDROL. EARTH SYST. SCI. | 96]
 in comparison, the uncertainty from green-house gas (ghg) concentrations scenarios is negligible for most regions [ORLOWSKY 2013 | HYDROL. EARTH SYST. SCI. | 961]
 these findings stand in contrast to respective analyses for a heat wave index, for which ghg concentrations scenarios constitute the main source of uncertainty [ORLOWSKY 2013 | HYDROL. EARTH SYST. SCI. | 961]
 we present ensemble projections of crop productivity that account for biophysical processes, inherent uncertainty and adaptation, using spring wheat in northeast china as a case study [CHALLINOR 2010 | ENVIRON. RES. LETT. | 62]
 the probabilistic approach is used to quantify the uncertainty in any given forecast [KIRTMAN 2003 | MON. WEATHER REV. | 56]
 it is argued that probabilistic verification is an important complement to any deterministic verification, and provides a useful and quantitative way to measure uncertainty [KIRTMAN 2003 | MON. WEATHER REV. | 561]
 however, the forecast uncertainty of the new method is more reliable than the esp method [MADADGAR 2013 | J. HYDROMETEOROL. | 361]
simulated soil moisture is increasingly used to characterize agricultural droughts but its parametric uncertainty, which essentially affects all hydrological fluxes and state variables, is rarely considered for identifying major drought events [SAMANIEGO 2013 | J. HYDROMETEOROL. | 33]
 in this study, a high-resolution, 200-member ensemble of land surface hydrology simulations obtained with the mesoscale hydrologic model is used to investigate the effects of the parametric uncertainty on drought statistics such as duration, extension, and severity [SAMANIEGO 2013 | J. HYDROMETEOROL. | 33]
 results of this study indicated that the large parametric uncertainty inherent to the model did not allow discriminating major drought events without a significant classification error [SAMANIEGO 2013 | J. HYDROMETEOROL. | 33]
 the parametric uncertainty of simulated soil moisture exhibited a strong spatiotemporal variability, which significantly affects all derived drought statistics [SAMANIEGO 2013 | J. HYDROMETEOROL. | 33]
 results of this study emphasize the importance of accounting for the parametric uncertainty for identifying benchmark drought events as well as the fact that using a single model simulation would very likely lead to inconclusive results [SAMANIEGO 2013 | J. HYDROMETEOROL. | 33]
 the top-down approach involves a high degree of uncertainty associated with global circulation model (gcm) outputs and the choice of downscaling technique [CUNDERLIK 2007 | HYDROL. PROCESS. | 30]
 this leads to a high uncertainty in hydrological drought simulation at large scales [VAN 2012 | HYDROL. EARTH SYST. SCI. | 291]
climate change science is increasingly concerned with methods for managing and integrating sources of uncertainty from emission storylines, climate model projections, and ecosystem model parameterizations [POULTER 2010 | GLOB. CHANGE BIOL. | 28]
 in tropical ecosystems, regional climate projections and modeled ecosystem responses vary greatly, leading to a significant source of uncertainty in global biogeochemical accounting and possible future climate feedbacks [POULTER 2010 | GLOB. CHANGE BIOL. | 28]
 variance partitioning approaches reveal that relationships between uncertainty from ecosystem dynamics and climate projections are dependent on geographic location and the targeted ecosystem process [POULTER 2010 | GLOB. CHANGE BIOL. | 28]
 parameter uncertainty from the lpjml model does not affect the trajectory of ecosystem response for a given climate change scenario and the primary source of uncertainty for amazon `dieback' results from the uncertainty among climate projections [POULTER 2010 | GLOB. CHANGE BIOL. | 28]
 our approach for describing uncertainty is applicable for informing and prioritizing policy options related to mitigation and adaptation where long-term investments are required [POULTER 2010 | GLOB. CHANGE BIOL. | 28]
3 pg c with the range of uncertainty depending on socio-economic storyline [POULTER 2010 | GLOB. CHANGE BIOL. | 27]
 the largest uncertainty resulted from climate projections, followed by implementation of ecosystem dynamics and deforestation [POULTER 2010 | GLOB. CHANGE BIOL. | 271]
a probabilistic framework is proposed to explore drought recovery and its uncertainty based on any ensemble forecast [PAN 2013 | GEOPHYS. RES. LETT. | 26]
 then, questions like how much precipitation is needed for recovery and its uncertainty? and what is the likelihood that a specified drought index threshold be surpassed given specified cumulative precipitation over a fixed period? are studied [PAN 2013 | GEOPHYS. RES. LETT. | 26]
 we find significant uncertainty in drought recovery given the same precipitation, suggesting that a probabilistic analysis will offer important additional information about drought risk [PAN 2013 | GEOPHYS. RES. LETT. | 26]
 all the estimated parameter values are very close to their true values, with the true values inside the estimated uncertainty range (1 standard deviation spread) [SHI 2014 | WATER RESOUR. RES. | 25]
 we then assess the degree of uncertainty, or spread, of the projected water resources scenarios by feeding the hydrological model with ensembles projections consistent with our deterministic (gcms + loc) scenarios, and we evaluate the significance of the projected flow variables against those observed in the control run [GROPPELLI 2011 | NAT. HAZARDS EARTH SYST. SCI. | 24]
 nevertheless, the generation of a multi-product ensemble, with weighting based on validation analyses and uncertainty assessments, is proposed as the best way forward in our long-term goal to develop a robust observational benchmark data set of continental evaporation [MIRALLES 2016 | HYDROL. EARTH SYST. SCI. | 231]
 understanding how the occurrence of drought may change in the future and which sources of uncertainty are dominant can inform appropriate decisions to guide drought impacts assessments [TAYLOR 2013 | HYDROL. EARTH SYST. SCI. | 20]
 our study considers both climate model uncertainty associated with future climate projections, and future emissions of greenhouse gases (future scenario uncertainty) [TAYLOR 2013 | HYDROL. EARTH SYST. SCI. | 20]
